borrow_id,member_id,book_id,borrow_date,quantity
1,1,2,2025-01-05,1
2,1,8,2025-01-12,1
3,1,10,2025-02-02,2
4,2,1,2025-01-08,1
5,2,5,2025-01-20,1
6,2,13,2025-02-15,1
7,3,3,2025-01-10,2
8,3,9,2025-01-25,1
9,3,15,2025-02-10,1
10,4,4,2025-01-15,1
11,4,8,2025-02-01,2
12,4,16,2025-02-20,1
13,5,6,2025-01-18,1
14,5,10,2025-02-05,1
15,5,18,2025-02-25,1
16,6,1,2025-01-22,1
17,6,11,2025-02-08,2
18,6,17,2025-03-01,1
19,7,2,2025-01-25,1
20,7,14,2025-02-12,1
21,8,3,2025-01-28,1
22,8,8,2025-02-18,1
23,8,20,2025-03-05,1
24,9,5,2025-02-01,2
25,9,9,2025-02-20,1
26,10,7,2025-02
